Código,Código_Prerrequisito,Camino
7,1,"[[320.0, 90.0], [270.0, 90.0]]"
10,2,"[[320, 740], [270, 740]]"
13,1,"[[320.0, 360.0], [280.0, 360.0], [280.0, 100.0], [270.0, 100.0]]"
13,3,"[[320.0, 380.0], [270.0, 380.0]]"
14,9,"[[320.0, 490.0], [290.0, 490.0], [290.0, 230.0], [270.0, 230.0]]"
16,7,"[[590.0, 240.0], [580.0, 240.0], [580.0, 130.0], [540.0, 130.0]]"
17,14,"[[590, 480], [540, 480]]"
19,17601,"[[1940, 1000], [1890, 1000]]"
20,3,"[[860.0, 410.0], [850.0, 410.0], [850.0, 440.0], [300.0, 440.0], [300.0, 400.0], [270.0, 400.0]]"
20,7,"[[860.0, 380.0], [560.0, 380.0], [560.0, 140.0], [540.0, 140.0]]"
23,16,"[[860.0, 240.0], [810.0, 240.0]]"
24,88,"[[860, 110], [810, 110]]"
25,91,"[[860, 610], [810, 610]]"
26,10,"[[590, 740], [540, 740]]"
27,16,"[[1130.0, 360.0], [1120.0, 360.0], [1120.0, 320.0], [820.0, 320.0], [820.0, 270.0], [810.0, 270.0]]"
27,13,"[[1130.0, 380.0], [1090.0, 380.0], [1090.0, 330.0], [550.0, 330.0], [550.0, 350.0], [540.0, 350.0]]"
28,91,"[[860.0, 740.0], [820.0, 740.0], [820.0, 670.0], [810.0, 670.0]]"
29,27,"[[1400, 350], [1350, 350]]"
31,17,"[[1130.0, 510.0], [810.0, 510.0]]"
32,25,"[[1130, 610], [1080, 610]]"
33,28,"[[1130, 740], [1080, 740]]"
35,38,"[[1400.0, 630.0], [1370.0, 630.0], [1370.0, 280.0], [1350.0, 280.0]]"
35,23,"[[1400.0, 640.0], [1360.0, 640.0], [1360.0, 590.0], [1100.0, 590.0], [1100.0, 240.0], [1080.0, 240.0]]"
36,31,"[[1400, 480], [1350, 480]]"
37,33,"[[1400, 740], [1350, 740]]"
38,24,"[[1130.0, 220.0], [1110.0, 220.0], [1110.0, 110.0], [1080.0, 110.0]]"
41,35,"[[1670.0, 650.0], [1620.0, 650.0]]"
42,20,"[[1670.0, 370.0], [1660.0, 370.0], [1660.0, 430.0], [1090.0, 430.0], [1090.0, 410.0], [1080.0, 410.0]]"
44,17,"[[1400.0, 280.0], [1390.0, 280.0], [1390.0, 300.0], [840.0, 300.0], [840.0, 480.0], [810.0, 480.0]]"
44,38,"[[1400.0, 250.0], [1350.0, 250.0]]"
45,32,"[[1670.0, 480.0], [1660.0, 480.0], [1660.0, 560.0], [1380.0, 560.0], [1380.0, 610.0], [1350.0, 610.0]]"
48,29,"[[1940.0, 610.0], [1930.0, 610.0], [1930.0, 580.0], [1640.0, 580.0], [1640.0, 400.0], [1620.0, 400.0]]"
48,35,"[[1940.0, 620.0], [1920.0, 620.0], [1920.0, 590.0], [1640.0, 590.0], [1640.0, 620.0], [1620.0, 620.0]]"
49,41,"[[1940.0, 740.0], [1920.0, 740.0], [1920.0, 650.0], [1890.0, 650.0]]"
50,32,"[[1940.0, 240.0], [1900.0, 240.0], [1900.0, 700.0], [1370.0, 700.0], [1370.0, 670.0], [1350.0, 670.0]]"
50,44,"[[1940.0, 220.0], [1900.0, 220.0], [1900.0, 200.0], [1630.0, 200.0], [1630.0, 230.0], [1620.0, 230.0]]"
51,37,"[(1670, 240), (1630, 240), (1630, 750), (1620, 750)]"
51,32,"[[1670.0, 250.0], [1660.0, 250.0], [1660.0, 320.0], [1390.0, 320.0], [1390.0, 660.0], [1350.0, 660.0]]"
52,38,"[[1940.0, 360.0], [1920.0, 360.0], [1920.0, 190.0], [1360.0, 190.0], [1360.0, 220.0], [1350.0, 220.0]]"
53,47,"[[1400, 1130], [1350, 1130]]"
54,48,"[[2480, 610], [2160, 610]]"
55,53,"[[1670, 1130], [1620, 1130]]"
67,50,"[(2210, 230), (2160, 230)]"
88,7,"[[590.0, 110.0], [540.0, 110.0]]"
91,14,"[[590, 610], [550, 610], [550, 490], [540, 490]]"
17602,19,"[[2210, 1010], [2160, 1010]]"
